STATE,year,type,race,sex,value
CT,2012,REFERRALAPPLICANTS,WHITE,MALE,1131
CT,2012,REFERRALS,AMERICANINDIAN,FEMALE,
CT,2012,REFERRALS,AMERICANINDIAN,MALE,
CT,2012,REFERRALS,ASIAN,FEMALE,
CT,2012,REFERRALS,ASIAN,MALE,3
CT,2012,REFERRALS,BLACK,FEMALE,12
CT,2012,REFERRALS,BLACK,MALE,139
CT,2012,REFERRALS,HISPANIC,FEMALE,11
CT,2012,REFERRALS,HISPANIC,MALE,99
CT,2012,REFERRALS,WHITE,FEMALE,21
CT,2012,REFERRALS,WHITE,MALE,643
CT,2012,REFERRED,AMERICANINDIAN,FEMALE,
CT,2012,REFERRED,AMERICANINDIAN,MALE,
CT,2012,REFERRED,ASIAN,FEMALE,
CT,2012,REFERRED,ASIAN,MALE,
CT,2012,REFERRED,BLACK,FEMALE,12
CT,2012,REFERRED,BLACK,MALE,104
CT,2012,REFERRED,HISPANIC,FEMALE,11
CT,2012,REFERRED,HISPANIC,MALE,76
CT,2012,REFERRED,WHITE,FEMALE,18
CT,2012,REFERRED,WHITE,MALE,508
DC,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
DC,2012,APPLICANTS,AMERICANINDIAN,MALE,
DC,2012,APPLICANTS,ASIAN,FEMALE,
DC,2012,APPLICANTS,ASIAN,MALE,
DC,2012,APPLICANTS,BLACK,FEMALE,
DC,2012,APPLICANTS,BLACK,MALE,19
DC,2012,APPLICANTS,HISPANIC,FEMALE,3
DC,2012,APPLICANTS,HISPANIC,MALE,54
DC,2012,APPLICANTS,WHITE,FEMALE,
DC,2012,APPLICANTS,WHITE,MALE,
DC,2012,MEMBERS,AMERICANINDIAN,FEMALE,
DC,2012,MEMBERS,AMERICANINDIAN,MALE,
DC,2012,MEMBERS,ASIAN,FEMALE,
DC,2012,MEMBERS,ASIAN,MALE,
DC,2012,MEMBERS,BLACK,FEMALE,5
DC,2012,MEMBERS,BLACK,MALE,507
DC,2012,MEMBERS,HISPANIC,FEMALE,3
DC,2012,MEMBERS,HISPANIC,MALE,507
DC,2012,MEMBERS,WHITE,FEMALE,
DC,2012,MEMBERS,WHITE,MALE,219
DC,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
DC,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,
DC,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
DC,2012,REFERRALAPPLICANTS,ASIAN,MALE,
DC,2012,REFERRALAPPLICANTS,BLACK,FEMALE,
DC,2012,REFERRALAPPLICANTS,BLACK,MALE,
DC,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,
DC,2012,REFERRALAPPLICANTS,HISPANIC,MALE,
DC,2012,REFERRALAPPLICANTS,WHITE,FEMALE,
DC,2012,REFERRALAPPLICANTS,WHITE,MALE,
DC,2012,REFERRALS,AMERICANINDIAN,FEMALE,
DC,2012,REFERRALS,AMERICANINDIAN,MALE,
DC,2012,REFERRALS,ASIAN,FEMALE,
DC,2012,REFERRALS,ASIAN,MALE,
DC,2012,REFERRALS,BLACK,FEMALE,4
DC,2012,REFERRALS,BLACK,MALE,35
DC,2012,REFERRALS,HISPANIC,FEMALE,3
DC,2012,REFERRALS,HISPANIC,MALE,45
DC,2012,REFERRALS,WHITE,FEMALE,
DC,2012,REFERRALS,WHITE,MALE,
DC,2012,REFERRED,AMERICANINDIAN,FEMALE,
DC,2012,REFERRED,AMERICANINDIAN,MALE,
DC,2012,REFERRED,ASIAN,FEMALE,
DC,2012,REFERRED,ASIAN,MALE,
DC,2012,REFERRED,BLACK,FEMALE,4
DC,2012,REFERRED,BLACK,MALE,30
DC,2012,REFERRED,HISPANIC,FEMALE,3
DC,2012,REFERRED,HISPANIC,MALE,39
DC,2012,REFERRED,WHITE,FEMALE,
DC,2012,REFERRED,WHITE,MALE,
DE,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
DE,2012,APPLICANTS,AMERICANINDIAN,MALE,
DE,2012,APPLICANTS,ASIAN,FEMALE,
DE,2012,APPLICANTS,ASIAN,MALE,
DE,2012,APPLICANTS,BLACK,FEMALE,
DE,2012,APPLICANTS,BLACK,MALE,19
DE,2012,APPLICANTS,HISPANIC,FEMALE,
DE,2012,APPLICANTS,HISPANIC,MALE,6
DE,2012,APPLICANTS,WHITE,FEMALE,
DE,2012,APPLICANTS,WHITE,MALE,71
DE,2012,MEMBERS,AMERICANINDIAN,FEMALE,
DE,2012,MEMBERS,AMERICANINDIAN,MALE,3
DE,2012,MEMBERS,ASIAN,FEMALE,
DE,2012,MEMBERS,ASIAN,MALE,
DE,2012,MEMBERS,BLACK,FEMALE,
DE,2012,MEMBERS,BLACK,MALE,45
DE,2012,MEMBERS,HISPANIC,FEMALE,
DE,2012,MEMBERS,HISPANIC,MALE,21
DE,2012,MEMBERS,WHITE,FEMALE,4
DE,2012,MEMBERS,WHITE,MALE,1444
DE,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
DE,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,
DE,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
